idwilayah,nomorResponden,catatan
6172,1,-
6108,2,-
6104,3,-
6108,4,(P.332) Moda transportasi utama untuk menuju tempat kerja adalah perahu motor
6107,5,Berhasil di cacah 
6107,6,Berhasil di cacah 
6107,7,Berhasil di cacah 
6107,8,Berhasil di cacah 
6107,9,Berhasil di cacah 
6107,10,Berhasil di cacah 
6107,11,Berhasil di cacah 
6107,12,Berhasil di cacah 
6107,13,MAGDALENA NOVITA MEMPUNYAI KETERBATASAN FISIK DAN MENTAL
6107,14,Berhasil di cacah 
6107,15,Berhasil di cacah 
6108,16,ART ADALAH PENYANDANG DISABILITAS
6107,17,Berhasil di cacah 
6101,18,"ASHBI tinggal bersama jamanah karena orang tua ke Malaysia, untuk biaya makan jamanah dapat kiriman dari orang tua ASHBI.. Jamanah mengalami sakit sesak nafas "
6107,19,Berhasil di cacah 
6107,20,Berhasil di cacah 
6107,21,Berhasil di data
6107,22,Berhasil di cacah 
6107,23,"Belum ada biaya untuk membuat MCK, masih numpang di ruta lain di rt sebelah karena rumahnya dekat"
6107,24,Anak Kandung nya TRI ROSNAYANI yang berjenis kelamin Laki-laki sudah menikah dan Pindah serta bertempat tinggal di Kecamatan Sintang dari Tahun 2023 sampai sekarang.
6112,25,Berhasil di cacah
6111,26,"*Ada orang tua atas nama JERINAH yang tinggal di bangunan rumah Saipul,orang tua dari istri nya Saipul.yang sudah lama tinggal di rumah ini. * TRISNAWATI tidak menggunakan KB ,karna alasan kesehatan yang di larang oleh dokter untuk memakai KB. "
6112,27,Berhasil di cacah
6107,28,-
6112,29,Berhasil di data
6112,30,Berhasil di data
6112,31,Berhasil di data
6112,32,Berhasil di data
6112,33,"Tinggal sendiri, dapat bantuan PEKA, nanam padi dan ternak kambing, tidak memiliki HP"
6112,34,Berhasil di data
6112,35,Berhasil di data
6112,36,Berhasil di data
6112,37,
6108,38,
6112,39,
6171,40,
6102,41,
6112,42,
6172,43,
6108,44,
6112,45,
6112,46,
6112,47,
6110,48,
6108,49,
6112,50,
6103,51,
6111,52,
6106,53,
6108,54,
6111,55,
6111,56,
6111,57,
6111,58,
6101,59,
6101,60,
6111,61,
6103,62,
6108,63,
6108,64,
6171,65,
6108,66,
6109,67,
6105,68,
6107,69,
6102,70,
6108,71,
6102,72,
6112,73,
6102,74,
6105,75,
6111,76,
6101,77,
6107,78,
6107,79,
6101,80,
6107,81,
6102,82,
6107,83,
6112,84,
6107,85,
6103,86,
6110,87,
6106,88,
6101,89,
6112,90,
6172,91,
6101,92,
6171,93,
6111,94,
6171,95,
6172,96,
6111,97,
6172,98,
6102,99,
6107,100,
6102,101,
6172,102,
6107,103,
6107,104,
6102,105,
6172,106,
6111,107,
6107,108,
6107,109,
6104,110,
6107,111,
6107,112,
6107,113,
6105,114,
6108,115,
6111,116,
6107,117,
6111,118,
6112,119,
6172,120,
6107,121,
6102,122,
6109,123,
6171,124,
6172,125,
6103,126,
6103,127,
6109,128,
6109,129,
6171,130,
6109,131,
6108,132,
6171,133,
6101,134,
6102,135,
6103,136,
6101,137,
6110,138,
6171,139,
6105,140,
6107,141,
6110,142,
6171,143,
6102,144,
6111,145,
6111,146,
6107,147,
6172,148,
6171,149,
6107,150,
6110,151,
6101,152,
6172,153,
6172,154,
6102,155,
6171,156,
6172,157,
6171,158,
6172,159,
6171,160,
6102,161,
6107,162,
6107,163,
6106,164,
6101,165,
6111,166,
6171,167,
6107,168,
6109,169,
6102,170,
6111,171,
6171,172,
6104,173,
6172,174,
6111,175,
6105,176,
6102,177,
6107,178,
6103,179,
6102,180,
6111,181,
6107,182,
6107,183,
6102,184,
6107,185,
6107,186,
6171,187,
6111,188,
6102,189,
6111,190,
6106,191,
6104,192,
6102,193,
6172,194,
6111,195,
6107,196,
6111,197,
6112,198,
6107,199,
6107,200,
6107,201,
6107,202,
6108,203,
6171,204,
6107,205,
6107,206,
6107,207,
6107,208,
6171,209,
6107,210,
6107,211,
6171,212,
6102,213,
6102,214,
6102,215,
6101,216,
6107,217,
6109,218,
6107,219,
6111,220,
6102,221,
6102,222,
6102,223,
6171,224,
6102,225,
6172,226,
6171,227,
6107,228,
6109,229,
6111,230,
6111,231,
6111,232,
6111,233,
6103,234,
6171,235,
6102,236,
6172,237,
6102,238,
6171,239,
6107,240,
6107,241,
6105,242,
6106,243,
6112,244,
6111,245,
6108,246,
6102,247,
6172,248,
6112,249,
6171,250,
6172,251,
6107,252,
6102,253,
6171,254,
6102,255,
6102,256,
6103,257,
6103,258,
6172,259,
6110,260,
6171,261,
6109,262,
6106,263,
6172,264,
6171,265,
6102,266,
6104,267,
6108,268,
6102,269,
6101,270,
6111,271,
6102,272,
6108,273,
6171,274,
6102,275,
6112,276,
6102,277,
6107,278,
6172,279,
6171,280,
6110,281,
6109,282,
6102,283,
6102,284,
6171,285,
6112,286,
6107,287,
6111,288,
6110,289,
6103,290,
6109,291,
6171,292,
6111,293,
6104,294,
6111,295,
6171,296,
6102,297,
6102,298,
6112,299,
6102,300,
6107,301,
6172,302,
6112,303,
6107,304,
6171,305,
6102,306,
6110,307,
6102,308,
6111,309,
6102,310,
6103,311,
6171,312,
6104,313,
6171,314,
6107,315,
6101,316,
6111,317,
6109,318,
6102,319,
6109,320,
6111,321,
6109,322,
6102,323,
6172,324,
6111,325,
6171,326,
6171,327,
6111,328,
6171,329,
6105,330,
6111,331,
6107,332,
6107,333,
6102,334,
6171,335,
6108,336,
6107,337,
6103,338,
6172,339,
6108,340,
6106,341,
6107,342,
6107,343,
6171,344,
6109,345,
6171,346,
6108,347,
6102,348,
6102,349,
6171,350,
6107,351,
6105,352,
6171,353,
6172,354,
6102,355,
6172,356,
6171,357,
6102,358,
6103,359,
6107,360,
6102,361,
6111,362,
6110,363,
6107,364,
6102,365,
6171,366,
6109,367,
6112,368,
6109,369,
6101,370,
6102,371,
6171,372,
6111,373,
6105,374,
6102,375,
6111,376,
6103,377,
6102,378,
6111,379,
6111,380,
6102,381,
6171,382,
6109,383,
6107,384,
6171,385,
6109,386,
6101,387,
6102,388,
6171,389,
6101,390,
6171,391,
6101,392,
6171,393,
6102,394,
6109,395,
6111,396,
6105,397,
6172,398,
6112,399,
6112,400,
6102,401,
6102,402,
6107,403,
6107,404,
6112,405,
6109,406,
6111,407,
6109,408,
6112,409,
6111,410,
6101,411,
6171,412,
6102,413,
6112,414,
6102,415,
6112,416,
6101,417,
6102,418,
6102,419,
6104,420,
6108,421,
6102,422,
6109,423,
6104,424,
6102,425,
6171,426,
6102,427,
6101,428,
6110,429,
6171,430,
6171,431,
6171,432,
6171,433,
6104,434,
6111,435,
6102,436,
6106,437,
6105,438,
6171,439,
6171,440,
6102,441,
6112,442,
6108,443,
6171,444,
6102,445,
6106,446,
6108,447,
6112,448,
6112,449,
6102,450,
6112,451,
6108,452,
6112,453,
6107,454,
6172,455,
6112,456,
6106,457,
6105,458,
6102,459,
6171,460,
6101,461,
6171,462,
6105,463,
6112,464,
6172,465,
6107,466,
6101,467,
6109,468,
6111,469,
6171,470,
6171,471,
6111,472,
6101,473,
6171,474,
6102,475,
6102,476,
6109,477,
6111,478,
6111,479,
6101,480,
6102,481,
6111,482,
6112,483,
6171,484,
6109,485,
6171,486,
6104,487,
6101,488,
6102,489,
6171,490,
6109,491,
6109,492,
6104,493,
6101,494,
6104,495,
6111,496,
6102,497,
6102,498,
6171,499,
6112,500,
6112,501,
6107,502,
6101,503,
6104,504,
6111,505,
6171,506,
6102,507,
6103,508,
6102,509,
6105,510,
6171,511,
6108,512,
6111,513,
6102,514,
6107,515,
6109,516,
6171,517,
6105,518,
6171,519,
6104,520,
6101,521,
6172,522,
6102,523,
6108,524,
6107,525,
6103,526,
6102,527,
6102,528,
6104,529,
6107,530,
6106,531,
6109,532,
6112,533,
6171,534,
6101,535,
6171,536,
6102,537,
6109,538,
6104,539,
6102,540,
6111,541,
6111,542,
6102,543,
6108,544,
6171,545,
6102,546,
6102,547,
6171,548,
6112,549,
6105,550,
6172,551,
6101,552,
6171,553,
6171,554,
6107,555,
6110,556,
6108,557,
6171,558,
6109,559,
6105,560,
6105,561,
6102,562,
6104,563,
6105,564,
6171,565,
6172,566,
6112,567,
6105,568,
6107,569,
6102,570,
6111,571,
6109,572,
6109,573,
6107,574,
6112,575,
6108,576,
6102,577,
6171,578,
6101,579,
6171,580,
6101,581,
6110,582,
6110,583,
6171,584,
6171,585,
6112,586,
6101,587,
6101,588,
6102,589,
6104,590,
6108,591,
6171,592,
6171,593,
6102,594,
6101,595,
6109,596,
6102,597,
6171,598,
6171,599,
6110,600,
6171,601,
6172,602,
6106,603,
6171,604,
6171,605,
6105,606,
6104,607,
6104,608,
6106,609,
6110,610,
6171,611,
6171,612,
6108,613,
6171,614,
6101,615,
6111,616,
6171,617,
6172,618,
6103,619,
6171,620,
6112,621,
6112,622,
6101,623,
6105,624,
6101,625,
6104,626,
6172,627,
6171,628,
6172,629,
6171,630,
6171,631,
6105,632,
6108,633,
6171,634,
6171,635,
6105,636,
6105,637,
6108,638,
6171,639,
6107,640,
6104,641,
6112,642,
6171,643,
6106,644,
6172,645,
6101,646,
6107,647,
6109,648,
6171,649,
6108,650,
6104,651,
6101,652,
6107,653,
6107,654,
6108,655,
6112,656,
6110,657,
6111,658,
6172,659,
6172,660,
6171,661,
6172,662,
6171,663,
6171,664,
6104,665,
6104,666,
6171,667,
6104,668,
6105,669,
6107,670,
6106,671,
6102,672,
6172,673,
6105,674,
6105,675,
6105,676,
6105,677,
6101,678,
6172,679,
6172,680,
6172,681,
6102,682,
6111,683,
6106,684,
6171,685,
6171,686,
6172,687,
6107,688,
6172,689,
6172,690,
6111,691,
6108,692,
6107,693,
6107,694,
6109,695,
6104,696,
6172,697,
6102,698,
6171,699,
6112,700,
6107,701,
6112,702,
6106,703,
6110,704,
6171,705,
6112,706,
6172,707,
6104,708,
6112,709,
6108,710,
6172,711,
6172,712,
6112,713,
6107,714,
6172,715,
6171,716,
6102,717,
6105,718,
6108,719,
6172,720,
6101,721,
6172,722,
6105,723,
6171,724,
6104,725,
6172,726,
6107,727,
6102,728,
6102,729,
6102,730,
6108,731,
6172,732,
6102,733,
6102,734,
6172,735,
6172,736,
6112,737,
6105,738,
6104,739,
6107,740,
6108,741,
6171,742,
6102,743,
6107,744,
6172,745,
6112,746,
6111,747,
6171,748,
6102,749,
6102,750,
6172,751,
6102,752,
6101,753,
6172,754,
6172,755,
6171,756,
6172,757,
6171,758,
6108,759,
6102,760,
6111,761,
6108,762,
6171,763,
6172,764,
6172,765,
6107,766,
6172,767,
6106,768,
6108,769,
6171,770,
6172,771,
6106,772,
6105,773,
6104,774,
6108,775,
6111,776,
6172,777,
6101,778,
6105,779,
6102,780,
6171,781,
6171,782,
6108,783,
6171,784,
6105,785,
6172,786,
6171,787,
6104,788,
6102,789,
6105,790,
6105,791,
6172,792,
6107,793,
6172,794,
6172,795,
6171,796,
6172,797,
6108,798,
6171,799,
6107,800,
6172,801,
6107,802,
6107,803,
6107,804,
6107,805,
6107,806,
6112,807,
6102,808,
6111,809,
6172,810,
6105,811,
6106,812,
6109,813,
6111,814,
6171,815,
6172,816,
6105,817,
6112,818,
6103,819,
6171,820,
6108,821,
6102,822,
6172,823,
6108,824,
6171,825,
6108,826,
6172,827,
6171,828,
6171,829,
6112,830,
6171,831,
6103,832,
6102,833,
6104,834,
6111,835,
6172,836,
6105,837,
6105,838,
6108,839,
6101,840,
6172,841,
6171,842,
6105,843,
6172,844,
6111,845,
6171,846,
6108,847,
6105,848,
6171,849,
6102,850,
6107,851,
6102,852,
6111,853,
6111,854,
6111,855,
6111,856,
6102,857,
6101,858,
6171,859,
6110,860,
6171,861,
6102,862,
6109,863,
6171,864,
6102,865,
6107,866,
6172,867,
6111,868,
6111,869,
6102,870,
6105,871,
6107,872,
6111,873,
6111,874,
6172,875,
6110,876,
6108,877,
6107,878,
6112,879,
6103,880,
6172,881,
6111,882,
6172,883,
6111,884,
6107,885,
6106,886,
6111,887,
6105,888,
6105,889,
6108,890,
6172,891,
6102,892,
6101,893,
6109,894,
6172,895,
6104,896,
6171,897,
6111,898,
6101,899,
6105,900,
6172,901,
6104,902,
6102,903,
6111,904,
6105,905,
6104,906,
6102,907,
6105,908,
6110,909,
6110,910,
6105,911,
6112,912,
6106,913,
6111,914,
6107,915,
6101,916,
6107,917,
6103,918,
6172,919,
6171,920,
6111,921,
6111,922,
6111,923,
6171,924,
6107,925,
6172,926,
6106,927,
6107,928,
6171,929,
6108,930,
6171,931,
6111,932,
6172,933,
6102,934,
6172,935,
6172,936,
6172,937,
6172,938,
6109,939,
6105,940,
6102,941,
6171,942,
6105,943,
6105,944,
6105,945,
6172,946,
6102,947,
6104,948,
6107,949,
6105,950,
6105,951,
6101,952,
6171,953,
6108,954,
6102,955,
6104,956,
6171,957,
6172,958,
6106,959,
6105,960,
6104,961,
6107,962,
6105,963,
6105,964,
6107,965,
6102,966,
6172,967,
6108,968,
6171,969,
6102,970,
6107,971,
6105,972,
6105,973,
6105,974,
6105,975,
6107,976,
6109,977,
6105,978,
6172,979,
6102,980,
6172,981,
6109,982,
6102,983,
6105,984,
6171,985,
6112,986,
6109,987,
6101,988,
6101,989,
6111,990,
6111,991,
6107,992,
6111,993,
6102,994,
6109,995,
6109,996,
6104,997,
6111,998,
6105,999,
6104,1000,
